Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,New_Confirmed,New_Deaths,New_Recovered,Confirmed_7day_avg,Death_Rate,Recovery_Rate
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6,,,,,3.063063063063063,5.045045045045045
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0,8,99.0,1.0,2.0,,2.7522935779816518,4.587155963302752
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22,9,287.0,8.0,6.0,,2.763018065887354,3.825717321997875
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11,493.0,16.0,3.0,,2.928870292887029,2.7196652719665275
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13,684.0,14.0,13.0,,2.644003777148253,2.4551463644948064
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16,809.0,26.0,9.0,,2.801503245644004,2.0840450973693203
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16,2651.0,49.0,46.0,,2.3485120114736464,1.9182502689135892
2020-01-29,6166,133,125,5908,588,2,18,2.16,2.03,106.4,18,588.0,2.0,18.0,801.5714285714286,2.156989944858904,2.027246188777165
2020-01-30,8234,171,141,7922,2068,38,16,2.08,1.71,121.28,20,2068.0,38.0,16.0,1082.857142857143,2.0767549186300704,1.7124119504493562
2020-01-31,9927,213,219,9495,1693,42,78,2.15,2.21,97.26,24,1693.0,42.0,78.0,1283.7142857142858,2.1456633423995166,2.206104563312179
2020-02-01,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,2111.0,46.0,62.0,1514.857142857143,2.1515201860774216,2.3342747964778203
2020-02-02,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,4749.0,103.0,178.0,2095.5714285714284,2.1564305712753917,2.7342586525287422
2020-02-03,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,3100.0,64.0,145.0,2422.8571428571427,2.1421028812792278,3.037159953738623
2020-02-04,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,4011.0,66.0,217.0,2617.1428571428573,2.0587496861662067,3.435433927525316
2020-02-05,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,3745.0,72.0,250.0,3068.1428571428573,2.040299533335745,3.8743985819194733
2020-02-06,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,3159.0,70.0,347.0,3224.0,2.0583079020842803,4.603597169014999
2020-02-07,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,3532.0,85.0,485.0,3486.714285714286,2.094134094483602,5.542610823090813
2020-02-08,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,2734.0,87.0,567.0,3575.714285714286,2.1743822164670337,6.663429373044136
2020-02-09,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,3027.0,100.0,587.0,3329.714285714286,2.259633370744482,7.624392068836514
2020-02-10,42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28,26,2538.0,107.0,657.0,3249.4285714285716,2.37609363638496,8.711561466469636
2020-02-11,44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2,26,2042.0,100.0,703.0,2968.1428571428573,2.491326245103526,9.886961387800783
2020-02-12,46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06,26,1886.0,5.0,432.0,2702.5714285714284,2.401151178024527,10.414295225618005
2020-02-13,60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12,26,13645.0,253.0,1081.0,4200.571428571428,2.277181676244892,9.849516659469156
2020-02-14,66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01,27,6484.0,152.0,1683.0,4622.285714285715,2.283700704753336,11.41550457339931
2020-02-15,68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71,27,2075.0,143.0,1289.0,4528.142857142857,2.42274412855377,12.945539155093433
2020-02-16,70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15,27,2114.0,104.0,1417.0,4397.714285714285,2.497213561139407,14.558613975930811
2020-02-17,72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63,27,1936.0,98.0,1632.0,4311.714285714285,2.5654054796401837,16.4128270273982
2020-02-18,74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66,27,1794.0,140.0,1742.0,4276.285714285715,2.6913643126164404,18.35301371148253
2020-02-19,75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79,28,421.0,115.0,1701.0,4067.0,2.8295348527255766,20.517126482740235
2020-02-20,75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93,28,547.0,123.0,1975.0,2195.8571428571427,2.971803591039602,22.981859560448285
2020-02-21,76206,2250,17966,55990,629,4,597,2.95,23.58,12.52,30,629.0,4.0,597.0,1359.4285714285713,2.952523423352492,23.575571477311495
2020-02-22,77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25,30,1761.0,207.0,3883.0,1314.5714285714287,3.1513332563776983,28.02339451306322
2020-02-23,78290,2467,22304,53519,323,10,455,3.15,28.49,11.06,31,323.0,10.0,455.0,1058.7142857142858,3.151104866521906,28.488951334780943
2020-02-24,78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92,36,564.0,160.0,1743.0,862.7142857142857,3.3314733558221525,30.495599462297413
2020-02-25,79707,2707,26652,50348,853,80,2605,3.4,33.44,10.16,41,853.0,80.0,2605.0,728.2857142857143,3.39618854052969,33.43746471451692
2020-02-26,80670,2767,29077,48826,963,60,2425,3.43,36.04,9.52,47,963.0,60.0,2425.0,805.7142857142857,3.4300235527457543,36.04437833147391
2020-02-27,82034,2810,31919,47305,1364,43,2842,3.43,38.91,8.8,51,1364.0,43.0,2842.0,922.4285714285714,3.4254089767657314,38.90947655850013
2020-02-28,83411,2867,35306,45238,1377,57,3387,3.44,42.33,8.12,57,1377.0,57.0,3387.0,1029.2857142857142,3.4371965328314014,42.327750536499984
2020-02-29,85306,2936,38314,44056,1895,69,3008,3.44,44.91,7.66,61,1895.0,69.0,3008.0,1048.4285714285713,3.4417274283168826,44.913605139146135
2020-03-01,87690,2990,41208,43492,2384,54,2894,3.41,46.99,7.26,66,2384.0,54.0,2894.0,1342.857142857143,3.4097388527768273,46.99281560041054
2020-03-02,89664,3079,44085,42500,1974,89,2877,3.43,49.17,6.98,73,1974.0,89.0,2877.0,1544.2857142857142,3.4339311206281224,49.16688972162741
2020-03-03,92241,3154,46681,42406,2577,75,2596,3.42,50.61,6.76,76,2577.0,75.0,2596.0,1790.5714285714287,3.419303780314611,50.60764735854989
2020-03-04,94540,3249,49619,41672,2299,95,2938,3.44,52.48,6.55,80,2299.0,95.0,2938.0,1981.4285714285713,3.4366405754178126,52.484662576687114
2020-03-05,97331,3342,52237,41752,2791,93,2618,3.43,53.67,6.4,84,2791.0,93.0,2618.0,2185.285714285714,3.4336439572181527,53.66943728103071
2020-03-06,101274,3454,54270,43550,3943,112,2033,3.41,53.59,6.36,93,3943.0,112.0,2033.0,2551.8571428571427,3.410549598119952,53.587297825700574
2020-03-07,105312,3553,56760,44999,4038,99,2490,3.37,53.9,6.26,94,4038.0,99.0,2490.0,2858.0,3.373784563962322,53.89699179580675
2020-03-08,109266,3797,59092,46377,3954,244,2332,3.48,54.08,6.43,99,3954.0,244.0,2332.0,3082.285714285714,3.4750059487855327,54.08086687533176
2020-03-09,113166,3981,60891,48294,3900,184,1799,3.52,53.81,6.54,102,3900.0,184.0,1799.0,3357.4285714285716,3.517841047664493,53.8067970945337
2020-03-10,118190,4260,62802,51128,5024,279,1911,3.6,53.14,6.78,105,5024.0,279.0,1911.0,3707.0,3.6043658515948893,53.13647516710381
2020-03-11,125853,4604,65113,56136,7663,344,2311,3.66,51.74,7.07,111,7663.0,344.0,2311.0,4473.285714285715,3.65823619619715,51.73734436207321
2020-03-12,131603,4909,66434,60260,5750,305,1321,3.73,50.48,7.39,113,5750.0,305.0,1321.0,4896.0,3.730158127094367,50.48061214410006
2020-03-13,146008,5406,68359,72243,14405,497,1925,3.7,46.82,7.91,120,14405.0,497.0,1925.0,6390.571428571428,3.702536847296039,46.8186674702756
2020-03-14,157114,5823,70729,80562,11106,417,2370,3.71,45.02,8.23,133,11106.0,417.0,2370.0,7400.285714285715,3.706226052420535,45.01763051033008
2020-03-15,168260,6464,74139,87657,11146,641,3410,3.84,44.06,8.72,137,11146.0,641.0,3410.0,8427.714285714286,3.8416736003803638,44.062165695946746
2020-03-16,182919,7144,76192,99583,14659,680,2053,3.91,41.65,9.38,143,14659.0,680.0,2053.0,9964.714285714286,3.9055538243703496,41.65340943259038
2020-03-17,198757,7948,78944,111865,15838,804,2752,4.0,39.72,10.07,146,15838.0,804.0,2752.0,11509.57142857143,3.998852870590721,39.71885266933995
2020-03-18,218343,8845,81427,128071,19586,897,2483,4.05,37.29,10.86,150,19586.0,897.0,2483.0,13212.857142857143,4.050965682435434,37.29315801285134
2020-03-19,246261,9951,83064,153246,27918,1106,1637,4.04,33.73,11.98,154,27918.0,1106.0,1637.0,16379.714285714286,4.04083472413415,33.730066880261184
2020-03-20,275869,11429,85509,178931,29608,1478,2445,4.14,31.0,13.37,161,29608.0,1478.0,2445.0,18551.571428571428,4.142908409426213,30.996233719627796
2020-03-21,308175,13134,89775,205266,32306,1705,4266,4.26,29.13,14.63,163,32306.0,1705.0,4266.0,21580.14285714286,4.26186420053541,29.131175468483818
2020-03-22,341585,14831,95990,230764,33410,1697,6215,4.34,28.1,15.45,168,33410.0,1697.0,6215.0,24760.714285714286,4.341818288273783,28.101351054642333
2020-03-23,383750,16748,96456,270546,42165,1917,466,4.36,25.14,17.36,169,42165.0,1917.0,466.0,28690.14285714286,4.364299674267101,25.13511400651466
2020-03-24,424889,19016,105997,299876,41154,2268,9541,4.48,24.95,17.94,171,41139.0,2268.0,9541.0,32304.571428571428,4.475521842175251,24.946986154030817
2020-03-25,475706,21793,111445,342468,50817,2777,5448,4.58,23.43,19.55,174,50817.0,2777.0,5448.0,36766.142857142855,4.581190903625348,23.42728491967728
2020-03-26,538666,24800,119804,394062,62960,3007,8359,4.6,22.24,20.7,175,62960.0,3007.0,8359.0,41772.142857142855,4.6039660940174425,22.240869109986523
2020-03-27,603066,28318,128508,446240,64400,3518,8704,4.7,21.31,22.04,176,64400.0,3518.0,8704.0,46742.42857142857,4.695671783851187,21.309110445622867
2020-03-28,670723,31997,136800,501926,67657,3679,8292,4.77,20.4,23.39,176,67657.0,3679.0,8292.0,51792.57142857143,4.77052374825375,20.39590113951661
2020-03-29,730300,35470,146261,548569,59577,3473,9461,4.86,20.03,24.25,176,59577.0,3473.0,9461.0,55530.71428571428,4.856908119950705,20.027522935779814
2020-03-30,794939,39634,161707,593598,64639,4164,15446,4.99,20.34,24.51,177,64639.0,4164.0,15446.0,58741.28571428572,4.9857913626076975,20.34206398226782
2020-03-31,871355,44478,174074,652803,76416,4844,12367,5.1,19.98,25.55,179,76416.0,4844.0,12367.0,63780.857142857145,5.1044637375122655,19.9773915338754
2020-04-01,947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179,76214.0,5551.0,15360.0,67409.0,5.279721054614493,19.991578449696014
2020-04-02,1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180,81399.0,6305.0,16618.0,70043.14285714286,5.474805824865301,20.02511253994293
2020-04-03,1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180,83155.0,5985.0,15008.0,72722.42857142857,5.603606795291529,19.877297744943682
2020-04-04,1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180,80463.0,5841.0,20012.0,74551.85714285714,5.715311097061344,20.214223544465558
2020-04-05,1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182,71718.0,5021.0,13405.0,76286.28571428571,5.788243966640935,20.127833179361925
2020-04-06,1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183,72672.0,5832.0,16335.0,77433.85714285714,5.90982934622611,20.255561805148332
2020-04-07,1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183,76873.0,7902.0,22853.0,77499.14285714286,6.147403294128298,20.770605630445687
2020-04-08,1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183,83775.0,6735.0,28352.0,78579.28571428571,6.253238463058819,21.5018589445682
2020-04-09,1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183,86625.0,7629.0,24332.0,79325.85714285714,6.392871322626684,21.86203052676694
2020-04-10,1671907,108551,367477,1195879,87658,7272,21128,6.49,21.98,29.54,184,87658.0,7272.0,21128.0,79969.14285714286,6.492645823003312,21.979512018312022
2020-04-11,1748872,114620,392991,1241261,76965,6069,25514,6.55,22.47,29.17,184,76965.0,6069.0,25514.0,79469.42857142857,6.553938767388351,22.471112808713272
2020-04-12,1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22,184,96781.0,5731.0,18873.0,83049.85714285714,6.5207815336902435,22.315353969570662
2020-04-13,1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76,184,69594.0,5747.0,26531.0,82610.14285714286,6.583902755101562,22.889736937324535
2020-04-14,1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72,184,69927.0,6898.0,24619.0,81617.85714285714,6.699463120109371,23.32359783071912
2020-04-15,2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32,184,80829.0,8312.0,35911.0,81197.0,6.839680290880507,24.149287295323386
2020-04-16,2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09,184,96712.0,7283.0,30090.0,82638.0,6.870577029335811,24.460689457464344
2020-04-17,2250439,157481,554287,1538671,87724,8890,25272,7.0,24.63,28.41,184,87724.0,8890.0,25272.0,82647.42857142857,6.997790208932568,24.630172157521265
2020-04-18,2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38,184,73957.0,6471.0,23502.0,82217.71428571429,7.053531325987482,24.857597414554146
2020-04-19,2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69,184,80523.0,4570.0,30768.0,79895.14285714286,7.007387774806554,25.304677621158966
2020-04-20,2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62,184,73339.0,5443.0,21305.0,80430.14285714286,7.019648478891222,25.415513639015792
2020-04-21,2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28,184,75250.0,7157.0,34181.0,81190.57142857143,7.093065696289183,26.005127064414914
2020-04-22,2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1,184,76806.0,6755.0,29164.0,80615.85714285714,7.142759381579538,26.35453409744996
2020-04-23,2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98,184,89013.0,6850.0,28482.0,79516.0,7.160852666854703,26.539250336572245
2020-04-24,2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11,184,86940.0,6674.0,49640.0,79404.0,7.17682957466271,27.485944851291773
2020-04-25,2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93,184,84932.0,5578.0,26910.0,80971.85714285714,7.158933023980708,27.609272139344267
2020-04-26,2964146,210862,825969,1927315,72948,3883,27730,7.11,27.87,25.53,184,72947.0,3883.0,27730.0,79889.57142857143,7.113752156607671,27.865327821234175
2020-04-27,3032850,215511,852382,1964957,68704,4649,26413,7.11,28.1,25.28,184,68704.0,4649.0,26413.0,79227.42857142857,7.105890499035561,28.104983761148755
2020-04-28,3108149,221974,884680,2001495,75404,6463,32298,7.14,28.46,25.09,184,75299.0,6463.0,32298.0,79234.42857142857,7.141678214268364,28.463242914030186
